product_id,store_id,order_date,selling_price,customer_id,order_id
P0055,S0130,01-07-2021,2537,123559980,1111155435
P0311,S0115,24-05-2023,3273,123505602,1111156117
P0187,S0126,09-04-2022,2679,123517358,1111113054
P0572,S0073,13-07-2023,2144,123466002,1111133149
P0132,S0102,03-07-2022,3726,123486415,1111183531
P0336,S0012,10-11-2022,1091,123560338,1111162528
P0701,S0001,21-01-2024,3834,123542201,1111183508
P0373,S0112,21-10-2023,836,123539057,1111148728
P0377,S0091,06-04-2024,3932,123472279,1111183913
P0735,S0117,24-03-2024,2869,123467459,1111167871
P0226,S0126,14-06-2021,2360,123561243,1111138438
P0406,S0024,16-10-2021,1981,123558811,1111121034
P0171,S0049,08-07-2022,4051,123558979,1111163940
P0356,S0031,05-09-2022,2747,123567258,1111179563
P0333,S0044,25-11-2021,4115,123559473,1111115217
P0665,S0042,09-02-2024,4954,123545624,1111185335
P0018,S0067,20-09-2023,4390,123513777,1111123736
P0694,S0116,06-08-2022,2979,123516296,1111148228
P0144,S0020,30-09-2021,1420,123521104,1111158374
P0114,S0013,12-02-2024,2367,123508954,1111187356
P0420,S0105,03-12-2021,3779,123562281,1111128489
P0504,S0061,20-01-2021,1890,123506952,1111161186
P0699,S0108,09-09-2023,973,123478312,1111139308
P0350,S0072,20-11-2022,3217,123527865,1111179193
P0260,S0022,07-12-2021,4256,123472226,1111181933
P0117,S0031,02-10-2021,294,123482345,1111137026
P0663,S0116,08-02-2022,3502,123521818,1111136814
P0615,S0094,28-09-2021,3120,123481569,1111113982
P0169,S0082,25-11-2021,1375,123487713,1111135509
P0500,S0027,18-08-2021,1670,123562210,1111182521
P0671,S0043,29-04-2024,1567,123565536,1111175043
P0615,S0131,23-12-2021,4197,123501023,1111152258
P0051,S0021,18-02-2021,819,123495097,1111158938
P0531,S0027,11-09-2023,1795,123560198,1111151008
P0174,S0008,15-08-2023,4482,123511163,1111172127
P0137,S0066,30-01-2023,698,123500441,1111165833
P0144,S0005,20-01-2024,4341,123499884,1111142162
P0611,S0016,18-03-2023,152,123466170,1111113447
P0185,S0035,23-09-2023,1769,123514632,1111122934
P0028,S0087,18-03-2022,3481,123468860,1111170424
P0185,S0038,17-03-2024,1469,123462465,1111157025
P0642,S0098,05-11-2021,3189,123508802,1111174287
P0047,S0031,10-08-2023,713,123538281,1111147630
P0512,S0002,18-04-2024,1578,123492256,1111151847
P0366,S0095,30-05-2022,530,123508719,1111134630
P0611,S0005,24-08-2021,3162,123521506,1111122444
P0328,S0113,25-04-2023,868,123515317,1111118731
P0552,S0028,19-11-2023,307,123551087,1111177324
P0549,S0061,22-09-2023,2168,123507286,1111183902
P0141,S0138,12-09-2021,2122,123469783,1111142174
P0328,S0088,28-04-2024,4669,123524526,1111185039
P0144,S0028,10-06-2022,918,123499168,1111130816
P0364,S0037,10-02-2022,2536,123461031,1111144937
P0026,S0037,30-05-2021,1719,123522471,1111152521
P0364,S0038,11-03-2024,498,123549384,1111115196
P0181,S0085,06-08-2022,3679,123550339,1111154609
P0260,S0115,30-10-2022,1736,123480651,1111113793
P0601,S0008,01-06-2021,3676,123539218,1111184251
P0080,S0126,21-08-2022,228,123489641,1111167178
P0185,S0051,06-05-2022,3734,123460952,1111111280
P0116,S0129,06-06-2023,4525,123558203,1111145355
P0212,S0001,27-11-2021,3395,123514771,1111151263
P0219,S0104,17-09-2023,3539,123559117,1111183713
P0051,S0077,23-01-2021,2122,123522014,1111169465
P0327,S0070,19-01-2021,3619,123511274,1111168113
P0116,S0080,07-04-2022,2392,123481104,1111173320
P0108,S0038,08-08-2021,3331,123484802,1111120085
P0341,S0094,27-03-2022,3518,123487924,1111178750
P0720,S0126,21-09-2021,3730,123536361,1111113285
P0226,S0051,06-11-2023,4720,123541721,1111112760
P0125,S0116,23-02-2022,204,123479439,1111183944
P0453,S0105,15-08-2023,370,123542908,1111167328
P0543,S0133,13-01-2023,2824,123552717,1111177971
P0116,S0126,17-02-2023,3343,123544835,1111174259
P0662,S0122,24-12-2023,3888,123526991,1111173206
P0282,S0097,18-07-2023,3002,123483074,1111136579
P0392,S0024,12-12-2021,1139,123513213,1111151914
P0226,S0101,05-06-2023,1475,123464264,1111123643
P0477,S0012,28-01-2021,3344,123548937,1111187110
P0129,S0037,23-10-2023,839,123528358,1111157425
P0147,S0102,18-05-2021,3493,123462245,1111183486
P0496,S0061,22-04-2021,798,123563027,1111180161
P0103,S0068,16-05-2022,1317,123475742,1111118402
P0312,S0001,07-12-2023,3929,123506542,1111146907
P0018,S0021,03-01-2024,3530,123472595,1111115414
P0276,S0038,09-08-2023,4950,123540421,1111148502
P0015,S0014,01-03-2024,2520,123562607,1111183329
P0196,S0094,01-12-2022,3140,123548938,1111179229
P0694,S0063,22-12-2021,3445,123506215,1111148533
P0372,S0127,10-04-2022,933,123562625,1111145529
P0227,S0062,21-03-2021,3011,123525842,1111122739
P0261,S0012,11-07-2022,963,123465830,1111112733
P0611,S0027,28-02-2021,495,123462317,1111134067
P0533,S0125,02-02-2021,786,123471799,1111180659
P0454,S0139,02-06-2021,1690,123480496,1111115906
P0651,S0071,16-07-2021,4158,123529436,1111157748
P0703,S0056,13-08-2022,4657,123459546,1111158268
P0689,S0020,24-07-2023,1214,123480433,1111122018
P0490,S0095,22-03-2022,4495,123464058,1111164303
P0162,S0040,24-01-2023,4407,123506020,1111140725
P0210,S0003,02-11-2021,1792,123537882,1111176921
P0512,S0060,26-04-2023,3958,123509454,1111160679
P0182,S0119,14-11-2022,2851,123542474,1111186414
P0070,S0012,14-04-2021,2092,123537244,1111126605
P0174,S0061,28-01-2023,4548,123512924,1111169810
P0016,S0032,09-10-2021,1791,123503611,1111126350
P0729,S0092,18-07-2021,551,123477410,1111175806
P0448,S0028,01-03-2023,945,123522041,1111119121
P0100,S0058,29-09-2023,4406,123561102,1111126784
P0390,S0106,30-09-2021,4263,123541758,1111134266
P0325,S0084,20-06-2023,4455,123463501,1111158625
P0737,S0132,22-03-2024,117,123546254,1111124021
P0371,S0085,15-01-2023,2711,123534033,1111155431
P0572,S0135,01-01-2022,3222,123494999,1111138411
P0539,S0012,21-09-2022,1161,123481091,1111175475
P0509,S0082,14-01-2022,2716,123545952,1111130143
P0364,S0118,12-06-2023,2671,123525995,1111173710
P0286,S0142,08-02-2022,190,123557138,1111164675
P0204,S0051,06-12-2023,420,123523799,1111113942
P0441,S0052,25-10-2021,1432,123462827,1111183121
P0456,S0026,18-02-2024,2546,123530031,1111137587
P0427,S0005,01-01-2021,3792,123485007,1111151345
P0475,S0115,06-06-2022,3802,123522265,1111155161
P0453,S0130,12-07-2021,3384,123481903,1111113311
P0286,S0043,01-05-2021,540,123560597,1111124073
P0311,S0062,26-04-2022,2500,123538296,1111135835
P0492,S0069,17-02-2021,4805,123567584,1111149848
P0571,S0060,22-03-2022,3073,123478610,1111141550
P0116,S0112,04-07-2023,4001,123566257,1111180196
P0171,S0062,03-04-2021,565,123485164,1111148198
P0428,S0126,14-11-2022,2781,123537177,1111144608
P0355,S0131,12-01-2021,1042,123521761,1111153936
P0327,S0018,20-05-2022,4128,123474254,1111146597
P0512,S0091,09-09-2023,2649,123514816,1111175343
P0500,S0090,15-10-2023,2718,123485666,1111169031
P0204,S0097,01-07-2023,1916,123480024,1111120724
P0362,S0082,22-08-2021,3243,123528986,1111151534
P0417,S0089,21-03-2021,3187,123566489,1111116810
P0134,S0025,03-03-2023,4439,123527884,1111118574
P0729,S0104,11-07-2021,4487,123514006,1111133636
P0117,S0097,10-04-2022,4310,123472150,1111120453
P0417,S0096,13-03-2023,3056,123533359,1111180098
P0730,S0112,18-07-2021,3775,123520556,1111117220
P0377,S0117,20-11-2022,1547,123490226,1111121032
P0059,S0054,21-12-2023,3933,123482807,1111138709
P0185,S0036,26-03-2023,1780,123553249,1111177331
P0536,S0044,08-07-2021,974,123550776,1111188021
P0526,S0028,11-04-2022,4009,123533788,1111120038
P0218,S0125,16-01-2022,4684,123542057,1111166174
P0061,S0027,18-01-2021,991,123540739,1111133554
P0729,S0037,16-05-2022,1723,123515276,1111180000
P0391,S0094,15-05-2023,1040,123533040,1111145639
P0682,S0055,03-04-2024,1383,123534161,1111113081
P0590,S0130,23-01-2024,3575,123496471,1111118332
P0103,S0128,01-09-2023,3753,123543494,1111172989
P0174,S0008,23-12-2023,1118,123465615,1111150117
P0218,S0126,27-07-2023,2851,123559026,1111166096
P0071,S0062,24-11-2021,1876,123539124,1111137918
P0148,S0091,05-09-2021,3698,123550164,1111126730
P0699,S0072,08-10-2023,3706,123532158,1111145075
P0353,S0104,16-11-2023,3614,123530438,1111121804
P0114,S0045,09-12-2021,1455,123538214,1111135072
P0103,S0084,20-02-2024,4330,123475115,1111118827
P0227,S0138,28-01-2024,1691,123506427,1111171115
P0714,S0025,29-12-2023,3889,123517264,1111167429
P0587,S0125,27-09-2022,1922,123558356,1111186733
P0553,S0026,25-06-2022,3937,123457026,1111160546
P0438,S0066,20-02-2021,3865,123496853,1111121230
P0499,S0002,13-11-2022,574,123532778,1111180663
P0067,S0085,27-02-2021,4797,123476577,1111180946
P0316,S0031,20-04-2023,2336,123519959,1111125530
P0318,S0026,10-02-2023,1326,123564551,1111160448
P0186,S0126,05-01-2024,1605,123511353,1111161775
P0238,S0013,21-01-2024,1464,123557483,1111172359
P0537,S0132,08-11-2021,1789,123563103,1111177087
P0372,S0110,17-09-2022,1192,123501473,1111114312
P0211,S0096,06-10-2021,331,123510260,1111124335
P0543,S0018,04-08-2023,4236,123511100,1111175579
P0487,S0020,14-04-2024,4337,123557027,1111144211
P0287,S0091,26-03-2024,2281,123502925,1111161302
P0420,S0091,25-11-2023,2048,123473368,1111178369
P0330,S0078,22-10-2022,4587,123522340,1111177168
P0051,S0040,18-06-2021,1877,123543345,1111151593
P0575,S0094,22-01-2022,2091,123526252,1111145826
P0694,S0042,04-07-2021,2330,123497533,1111166980
P0090,S0021,17-07-2022,3578,123480715,1111129236
P0035,S0098,18-02-2021,3913,123526685,1111186278
P0587,S0123,24-08-2022,409,123515287,1111148292
P0116,S0132,12-07-2021,1893,123495740,1111120912
P0055,S0130,26-03-2023,1316,123509822,1111119495
P0147,S0040,21-07-2023,4989,123506896,1111127396
P0169,S0056,11-09-2022,2114,123459089,1111152874
P0458,S0101,20-11-2022,552,123458788,1111136660
P0210,S0109,29-09-2022,3797,123470402,1111146011
P0035,S0095,14-05-2022,3433,123519067,1111148022
P0348,S0018,10-07-2023,3095,123523292,1111156797
P0083,S0111,22-01-2022,892,123500291,1111126959
P0712,S0083,10-07-2021,886,123501052,1111136165
P0147,S0023,24-04-2021,4790,123532289,1111113077
P0141,S0042,08-01-2023,629,123482038,1111126552
P0287,S0023,02-12-2022,2247,123526051,1111123491
P0394,S0014,07-10-2023,2411,123515523,1111142330
P0658,S0062,23-04-2022,3243,123473554,1111175390
P0328,S0037,30-07-2022,2467,123529289,1111187745
P0696,S0097,16-01-2023,1863,123539428,1111172617
P0436,S0047,10-03-2022,4980,123547210,1111184143
P0660,S0095,30-07-2022,3106,123506575,1111114859
P0685,S0002,09-05-2021,4260,123564916,1111133614
P0277,S0003,10-02-2021,559,123549233,1111144201
P0386,S0085,04-03-2022,1254,123526335,1111149804
P0690,S0098,06-09-2021,455,123521713,1111118642
P0260,S0087,25-08-2023,415,123460119,1111113146
P0666,S0020,22-04-2024,1870,123530371,1111123987
P0382,S0026,04-08-2023,596,123508332,1111131346
P0664,S0078,10-02-2022,4954,123460085,1111155205
P0694,S0143,22-01-2022,2124,123516786,1111119779
P0333,S0028,01-03-2023,2377,123556497,1111118675
P0103,S0092,24-11-2022,3265,123477022,1111180649
P0140,S0020,26-07-2023,1536,123559517,1111161350
P0527,S0097,22-11-2021,2031,123558658,1111122910
P0506,S0063,26-09-2021,4427,123564153,1111139641
P0117,S0126,25-03-2024,2292,123485670,1111133792
P0212,S0102,08-04-2021,4962,123498751,1111134725
P0209,S0069,17-02-2023,3941,123551617,1111148743
P0436,S0110,15-05-2021,156,123553277,1111136877
P0386,S0048,10-01-2023,2985,123467569,1111128847
P0355,S0001,09-02-2024,336,123485768,1111127713
P0372,S0090,02-03-2024,4839,123534020,1111126223
P0348,S0074,01-12-2023,1710,123469315,1111176576
P0619,S0066,16-07-2021,967,123522120,1111131015
P0102,S0038,18-05-2021,4730,123523494,1111175494
P0204,S0031,18-02-2024,2713,123494060,1111178868
P0215,S0028,22-12-2022,4730,123520710,1111134878
P0504,S0042,22-06-2021,2460,123484234,1111131601
P0490,S0050,28-02-2022,2991,123510740,1111134821
P0747,S0028,01-09-2023,3927,123462139,1111154674
P0304,S0097,08-04-2022,2696,123477590,1111149783
P0585,S0023,20-06-2022,3530,123530209,1111153466
P0327,S0107,24-12-2023,3166,123566216,1111139276
P0297,S0122,31-05-2021,2778,123500089,1111127530
P0572,S0087,26-12-2021,3283,123511090,1111150650
P0333,S0094,10-05-2023,340,123484752,1111115316
P0100,S0002,18-06-2023,4135,123525515,1111143617
P0321,S0049,02-04-2022,3587,123469688,1111179488
P0536,S0048,19-02-2021,4793,123481938,1111152150
P0090,S0141,07-01-2021,196,123457357,1111130628
P0087,S0042,02-08-2023,2583,123474617,1111140009
P0311,S0008,04-02-2021,3954,123495553,1111111296
P0408,S0040,15-04-2023,1082,123560931,1111179041
P0721,S0040,02-09-2021,1616,123562730,1111144728
P0730,S0094,18-05-2021,2493,123497551,1111156449
P0050,S0055,16-05-2021,1746,123481891,1111180684
P0364,S0031,01-01-2023,3576,123476322,1111135140
P0606,S0085,09-11-2021,177,123516043,1111153959
P0100,S0088,15-08-2021,2526,123549076,1111172048
P0671,S0043,12-09-2021,2082,123531874,1111178893
P0286,S0066,16-04-2021,4157,123543625,1111168383
P0639,S0020,02-02-2024,1224,123564370,1111153518
P0420,S0038,05-08-2023,848,123522424,1111115193
P0238,S0096,05-06-2022,2757,123541584,1111170021
P0156,S0117,15-06-2023,1721,123542676,1111140028
P0635,S0062,23-01-2021,2404,123502176,1111131099
P0665,S0010,05-01-2023,1072,123540292,1111167520
P0698,S0085,21-03-2024,2658,123474787,1111133981
P0729,S0031,08-01-2021,2393,123525312,1111146330
P0441,S0005,24-07-2022,3215,123531207,1111154415
P0373,S0091,08-08-2022,2225,123468974,1111182987
P0055,S0118,23-02-2023,1537,123524529,1111163435
P0195,S0069,16-03-2021,2727,123536115,1111166756
P0506,S0066,04-03-2021,1520,123473126,1111147370
P0156,S0096,08-11-2023,582,123557272,1111137356
P0527,S0027,28-04-2023,3164,123564124,1111121438
P0735,S0125,06-05-2021,811,123520784,1111174726
P0317,S0131,12-07-2021,2054,123519553,1111184705
P0565,S0131,30-05-2023,1895,123476968,1111176010
P0565,S0129,23-03-2024,3039,123478894,1111161644
P0629,S0035,20-08-2022,2098,123513755,1111163876
P0651,S0132,29-07-2022,4598,123512685,1111182018
P0450,S0090,30-11-2022,2737,123552929,1111153287
P0483,S0123,05-08-2023,827,123567359,1111149896
P0435,S0123,03-07-2022,2042,123462516,1111180729
P0417,S0094,13-02-2023,4124,123550571,1111138640
P0665,S0072,07-07-2021,3368,123560529,1111186184
P0461,S0055,29-04-2021,2262,123540284,1111157438
P0144,S0056,20-03-2023,2667,123501295,1111121932
P0571,S0008,21-10-2022,3367,123509218,1111120003
P0234,S0028,13-04-2024,1643,123510880,1111147655
P0694,S0012,07-10-2023,4693,123502032,1111142123
P0055,S0034,15-10-2021,3691,123488067,1111133236
P0333,S0004,09-03-2021,1820,123548928,1111156504
P0435,S0082,15-12-2022,922,123473151,1111129518
P0456,S0023,15-05-2021,2757,123521831,1111113156
P0707,S0051,19-07-2022,1438,123516587,1111183819
P0312,S0066,05-10-2022,3726,123514432,1111169526
P0311,S0055,05-08-2023,705,123462182,1111182566
P0125,S0086,15-03-2022,3557,123489605,1111134198
P0198,S0087,29-11-2022,1416,123534791,1111117580
P0509,S0051,03-04-2024,852,123490210,1111167950
P0556,S0066,29-05-2022,3480,123554422,1111168731
P0167,S0090,22-08-2022,2717,123544095,1111144820
P0481,S0048,02-02-2023,2422,123457435,1111177058
P0664,S0121,29-08-2023,1914,123508030,1111142729
P0171,S0064,01-04-2024,2822,123463991,1111127460
P0506,S0055,21-08-2021,2938,123501137,1111163105
P0138,S0082,18-06-2023,436,123536646,1111134451
P0333,S0034,26-06-2022,4086,123538545,1111169976
P0293,S0048,13-01-2023,459,123554127,1111172979
P0171,S0074,14-06-2021,2954,123477842,1111121334
P0328,S0138,02-06-2021,4103,123531292,1111184477
P0270,S0131,26-05-2023,3201,123489664,1111183750
P0114,S0138,02-01-2024,3395,123495793,1111183707
P0110,S0026,30-03-2021,3879,123531086,1111129475
P0370,S0085,08-11-2023,4860,123530579,1111123200
P0261,S0110,29-12-2021,3114,123535852,1111179330
P0067,S0038,07-06-2021,1164,123498322,1111111454
P0187,S0104,24-09-2022,3951,123538529,1111157983
P0351,S0110,08-01-2023,1863,123564344,1111162519
P0296,S0104,07-04-2023,1064,123544267,1111179222
P0336,S0049,24-04-2024,2156,123505057,1111117643
P0406,S0045,23-01-2023,2300,123506510,1111151722
P0702,S0126,14-05-2021,982,123460995,1111187878
P0694,S0105,17-01-2022,1988,123543434,1111160313
P0408,S0056,13-04-2023,313,123503480,1111146998
P0392,S0101,31-03-2024,3639,123484084,1111157051
P0520,S0031,06-07-2021,2125,123540605,1111130211
P0590,S0019,26-06-2021,3171,123505348,1111122298
P0364,S0088,27-09-2021,709,123516318,1111146584
P0377,S0009,31-12-2022,2088,123462939,1111152555
P0500,S0012,09-08-2023,715,123495328,1111130136
P0039,S0095,06-03-2024,1689,123530317,1111151373
P0642,S0054,11-08-2021,3015,123557217,1111176433
P0277,S0135,01-08-2021,1993,123542751,1111151399
P0497,S0108,01-08-2021,505,123551774,1111179088
P0712,S0126,11-04-2022,2725,123555359,1111124656
P0376,S0020,18-01-2023,4188,123479726,1111139898
P0451,S0102,03-06-2023,4875,123561778,1111180176
P0438,S0070,09-03-2024,2137,123555612,1111120345
P0055,S0036,21-03-2021,3992,123499430,1111123847
P0662,S0008,31-01-2024,100,123513396,1111114357
P0206,S0096,21-03-2024,2979,123551566,1111128610
P0527,S0091,18-12-2021,2805,123554485,1111162315
P0587,S0002,18-02-2023,1033,123567500,1111141358
P0088,S0074,10-07-2022,3548,123516790,1111160724
P0454,S0109,18-08-2023,430,123548498,1111138482
P0206,S0026,19-10-2021,2323,123528829,1111134968
P0463,S0082,09-03-2023,761,123529751,1111186576
P0067,S0138,23-12-2021,157,123561998,1111114320
P0709,S0056,30-12-2021,2046,123505839,1111180352
P0518,S0038,15-01-2024,2818,123536217,1111149671
P0499,S0067,03-11-2023,3968,123507730,1111122520
P0195,S0110,07-11-2021,2881,123462170,1111128371
P0421,S0008,04-09-2022,3226,123493382,1111158142
P0504,S0113,04-02-2022,1357,123488677,1111133526
P0261,S0033,24-12-2023,3071,123458831,1111137370
P0694,S0097,28-08-2023,273,123463045,1111164249
P0635,S0025,06-03-2023,315,123475629,1111166801
P0325,S0110,29-05-2022,380,123510939,1111129352
P0611,S0001,10-02-2022,4481,123500011,1111121410
P0131,S0058,22-12-2023,4377,123523716,1111121915
P0639,S0043,27-08-2023,1597,123503889,1111117010
P0238,S0130,10-10-2022,4671,123557243,1111141462
P0114,S0071,30-12-2023,1610,123540100,1111149316
P0657,S0108,06-11-2023,2788,123458244,1111115474
P0125,S0036,20-11-2023,3776,123550818,1111182696
P0350,S0138,21-06-2021,3209,123558935,1111157605
P0504,S0026,11-06-2022,624,123507625,1111154028
P0304,S0036,11-08-2021,4964,123541230,1111132225
P0348,S0101,12-10-2023,2158,123490430,1111145834
P0735,S0062,22-02-2023,900,123525708,1111173817
P0129,S0065,19-04-2023,3692,123523330,1111113136
P0324,S0142,14-03-2024,3700,123472104,1111147671
P0364,S0108,26-03-2024,1928,123546378,1111163130
P0702,S0144,13-12-2021,2230,123464617,1111160220
P0569,S0074,02-08-2022,1867,123467588,1111115721
P0504,S0126,12-05-2021,2598,123527983,1111124506
P0051,S0087,31-07-2021,2615,123529031,1111121733
P0088,S0040,08-04-2022,3800,123551123,1111160696
P0087,S0115,08-01-2021,2145,123523919,1111181211
P0325,S0137,03-09-2023,4367,123529553,1111127134
P0261,S0138,09-01-2022,1561,123481399,1111169584
P0362,S0095,15-10-2023,1818,123519310,1111142164
P0512,S0058,09-05-2023,3833,123550009,1111155657
P0559,S0034,13-09-2021,471,123473649,1111179060
P0527,S0029,15-10-2023,3834,123487147,1111122276
P0442,S0051,20-09-2022,4163,123563819,1111159546
P0059,S0072,03-11-2021,920,123548929,1111137838
P0004,S0104,09-09-2023,2674,123547619,1111173407
P0590,S0070,09-09-2022,1503,123506314,1111178598
P0571,S0048,07-01-2023,986,123489106,1111170369
P0220,S0085,06-07-2021,3135,123510816,1111112606
P0212,S0020,24-04-2024,4418,123535317,1111184795
P0425,S0031,22-01-2022,1545,123535597,1111115938
P0549,S0072,15-03-2023,4386,123489241,1111187689
P0269,S0077,20-05-2021,3262,123520456,1111151174
P0738,S0090,08-01-2024,2049,123488458,1111172208
P0412,S0055,11-04-2022,4275,123476342,1111147971
P0211,S0013,29-03-2021,4616,123525862,1111114564
P0377,S0102,23-11-2022,4047,123547979,1111132995
P0350,S0110,16-08-2023,1474,123474329,1111124423
P0083,S0141,18-12-2021,1299,123491638,1111131363
P0195,S0040,03-03-2023,3569,123490795,1111152692
P0536,S0030,27-08-2021,3486,123552798,1111167015
P0169,S0102,16-07-2022,1381,123556199,1111181503
P0615,S0097,08-12-2021,1259,123525295,1111135501
P0663,S0005,16-04-2024,1211,123508024,1111186272
P0566,S0008,31-03-2021,3048,123531469,1111133462
P0100,S0108,16-03-2024,811,123466504,1111140230
P0009,S0085,27-12-2022,2355,123565052,1111182959
P0206,S0086,11-08-2023,3224,123528585,1111156363
P0227,S0097,30-09-2022,3327,123475740,1111187250
P0652,S0083,24-11-2022,782,123495641,1111115118
P0054,S0048,13-04-2021,2118,123468639,1111132377
P0225,S0058,02-06-2022,4606,123462575,1111112543
P0283,S0122,16-01-2024,1467,123552087,1111148715
P0689,S0051,24-06-2023,3718,123492246,1111139101
P0108,S0126,12-05-2022,1577,123529575,1111128046
P0169,S0142,14-12-2023,2596,123512288,1111132544
P0286,S0124,25-10-2021,742,123490259,1111137113
P0421,S0030,06-04-2023,4148,123511878,1111171249
P0569,S0024,30-03-2022,2512,123555716,1111133595
P0017,S0075,21-08-2021,3393,123468099,1111118620
P0741,S0095,03-12-2022,3665,123548694,1111140141
P0090,S0003,07-06-2023,2477,123548210,1111111861
P0654,S0023,01-11-2023,3743,123560433,1111112845
P0156,S0103,11-02-2024,3240,123543054,1111151256
P0399,S0126,26-11-2021,3287,123465257,1111179409
P0394,S0004,14-12-2021,3768,123472430,1111136733
P0459,S0051,23-10-2021,943,123528805,1111132772
P0671,S0108,20-01-2021,3702,123525491,1111112209
P0091,S0144,12-07-2023,4188,123559034,1111162151
P0639,S0069,24-07-2021,1074,123517436,1111151884
P0390,S0098,27-07-2023,4944,123497253,1111171819
P0432,S0026,13-06-2023,4665,123481487,1111136115
P0665,S0083,28-04-2022,2110,123537167,1111157461
P0055,S0025,07-01-2021,4324,123459748,1111186992
P0655,S0131,03-09-2022,3352,123460145,1111181845
P0333,S0063,23-02-2022,2534,123486945,1111144934
P0266,S0040,07-04-2021,641,123547572,1111177653
P0664,S0070,22-04-2024,742,123487525,1111125899
P0454,S0142,14-04-2024,1734,123480086,1111155286
P0747,S0001,02-04-2023,3490,123543863,1111184951
P0699,S0102,04-07-2023,170,123552403,1111150336
P0260,S0065,02-02-2024,1038,123515095,1111111233
P0693,S0038,08-03-2024,1004,123539628,1111147383
P0197,S0104,07-06-2023,3759,123486101,1111117915
P0438,S0074,03-04-2021,4553,123535837,1111120628
P0078,S0066,14-06-2022,3696,123479147,1111151907
P0261,S0129,13-12-2023,4294,123505072,1111169641
P0716,S0066,11-01-2024,3740,123497933,1111150165
P0563,S0040,27-09-2022,2862,123537816,1111181633
P0364,S0006,29-03-2023,831,123567054,1111149703
P0008,S0056,08-02-2023,148,123552784,1111138812
P0446,S0038,22-04-2022,3547,123460337,1111124622
P0425,S0137,24-02-2022,3006,123536442,1111121597
P0441,S0005,26-02-2023,3473,123529341,1111176036
P0108,S0083,14-09-2023,1924,123502130,1111136978
P0018,S0104,19-06-2023,417,123522616,1111186155
P0280,S0082,25-06-2023,702,123485632,1111144455
P0691,S0049,22-02-2023,3991,123552952,1111131759
P0652,S0026,11-11-2023,3623,123533337,1111121608
P0070,S0110,12-04-2022,2058,123533648,1111133071
P0263,S0001,28-10-2023,4721,123541773,1111169885
P0716,S0023,11-12-2023,4386,123556841,1111140888
