store_id,storetype_id,store_szie,city_id,state_code,state,city
S0104,ST04,47 qm,C002,OK , Oklahoma , Oklahoma City
S0071,ST04,32 qm,C014,CA , California , Ventura
S0060,ST04,25 qm,C029,PA , Pennsylvania , Philadelphia
S0111,ST03,17 qm,C022,AL , Alabama , Birmingham
S0121,ST03,18 qm,C022,FL , Florida , Fort Lauderdale
S0019,ST03,12 qm,C030,CA , California , Sacramento
S0047,ST03,14 qm,C031,CA , California , Concord
S0051,ST04,39 qm,C027,AZ , Arizona , Phoenix
S0026,ST04,41 qm,C014,OH , Ohio , Toledo
S0025,ST04,25 qm,C024,MO , Missouri , Kansas City
S0015,ST04,19 qm,C014,TN , Tennessee , Knoxville
S0001,ST04,41 qm,C031,MO , Missouri , Saint Louis
S0127,ST03,8 qm,C029,MN , Minnesota , Young America
S0126,ST04,34 qm,C014,VA , Virginia , Roanoke
S0114,ST03,15 qm,C020,MD , Maryland , Baltimore
S0117,ST04,17 qm,C031,CA , California , Los Angeles
S0024,ST04,26 qm,C022,TX , Texas , Lubbock
S0003,ST03,17 qm,C014,FL , Florida , Orlando
S0028,ST01,86 qm,C036,IA , Iowa , Des Moines
S0077,ST03,12 qm,C014,OH , Ohio , Toledo
S0093,ST04,16 qm,C022,AL , Alabama , Anniston
S0010,ST04,17 qm,C014,AZ , Arizona , Scottsdale
S0034,ST03,14 qm,C022,PA , Pennsylvania , Valley Forge
S0022,ST04,16 qm,C014,AZ , Arizona , Phoenix
S0038,ST01,63 qm,C004,TX , Texas , Dallas
S0058,ST04,17 qm,C014,CA , California , Irvine
S0069,ST02,18 qm,C031,FL , Florida , Lehigh Acres
S0143,ST03,13 qm,C014,AZ , Arizona , Gilbert
S0039,ST03,15 qm,C014,TX , Texas , Dallas
S0137,ST04,15 qm,C022,DC , District of Columbia , Washington
S0081,ST03,15 qm,C022,MD , Maryland , Baltimore
S0065,ST02,41 qm,C036,SC , South Carolina , Anderson
S0139,ST04,20 qm,C035,IN , Indiana , Fort Wayne
S0054,ST03,15 qm,C022,UT , Utah , Salt Lake City
S0030,ST03,13 qm,C006,IL , Illinois , Evanston
S0056,ST04,42 qm,C015,CA , California , Pasadena
S0138,ST04,30 qm,C022,MO , Missouri , Springfield
S0050,ST04,31 qm,C014,FL , Florida , Miami
S0005,ST04,19 qm,C001,KY , Kentucky , Louisville
S0064,ST03,17 qm,C026,LA , Louisiana , Shreveport
S0013,ST04,33 qm,C026,TX , Texas , Katy
S0118,ST03,20 qm,C023,CO , Colorado , Denver
S0042,ST04,25 qm,C020,OH , Ohio , Dayton
S0086,ST03,12 qm,C003,TX , Texas , El Paso
S0134,ST03,12 qm,C020,CA , California , Torrance
